"Time","X4th.Ventricle"
-22.14,2358.70022308161
-22.13,2358.70480341586
-22.12,2358.70938375011
-22.11,2358.71396408436
-22.1,2358.71854441861
-22.09,2358.72312475286
-22.08,2358.72770508711
-22.07,2358.73228542136
-22.06,2358.73688806119
-22.05,2358.74150271452
-22.04,2358.74611736785
-22.03,2358.75073202118
-22.02,2358.75534667451
-22.01,2358.75996132785
-22,2358.76457598118
-21.99,2358.76919063451
-21.98,2358.77380528784
-21.97,2358.77842215596
-21.96,2358.78307133317
-21.95,2358.78772051037
-21.94,2358.79236968757
-21.93,2358.79701886478
-21.92,2358.80166804198
-21.91,2358.80631721918
-21.9,2358.81096639639
-21.89,2358.81561557359
-21.88,2358.82026475079
-21.87,2358.8249305411
-21.86,2358.82961444771
-21.85,2358.83429835433
-21.84,2358.83898226095
-21.83,2358.84366616757
-21.82,2358.84835007418
-21.81,2358.8530339808
-21.8,2358.85771788742
-21.79,2358.86240179404
-21.78,2358.86708570065
-21.77,2358.87180078962
-21.76,2358.87651963194
-21.75,2358.88123847427
-21.74,2358.88595731659
-21.73,2358.89067615891
-21.72,2358.89539500124
-21.71,2358.90011384356
-21.7,2358.90483268588
-21.69,2358.90955152821
-21.68,2358.91428115125
-21.67,2358.91903513633
-21.66,2358.9237891214
-21.65,2358.92854310647
-21.64,2358.93329709154
-21.63,2358.93805107661
-21.62,2358.94280506168
-21.61,2358.94755904675
-21.6,2358.95231303183
-21.59,2358.9570670169
-21.58,2358.96184648883
-21.57,2358.96663582443
-21.56,2358.97142516004
-21.55,2358.97621449565
-21.54,2358.98100383126
-21.53,2358.98579316687
-21.52,2358.99058250247
-21.51,2358.99537183808
-21.5,2359.00016117369
-21.49,2359.0049553162
-21.48,2359.00978021088
-21.47,2359.01460510556
-21.46,2359.01943000024
-21.45,2359.02425489492
-21.44,2359.0290797896
-21.43,2359.03390468428
-21.42,2359.03872957896
-21.41,2359.04355447364
-21.4,2359.04837936832
-21.39,2359.05322391364
-21.38,2359.05808457667
-21.37,2359.0629452397
-21.36,2359.06780590273
-21.35,2359.07266656576
-21.34,2359.07752722879
-21.33,2359.08238789182
-21.32,2359.08724855485
-21.31,2359.09210921788
-21.3,2359.09696988091
-21.29,2359.10186521242
-21.28,2359.10676185382
-21.27,2359.11165849523
-21.26,2359.11655513663
-21.25,2359.12145177803
-21.24,2359.12634841944
-21.23,2359.13124506084
-21.22,2359.13614170224
-21.21,2359.14103834365
-21.2,2359.14594865722
-21.19,2359.15088148776
-21.18,2359.1558143183
-21.17,2359.16074714884
-21.16,2359.16567997938
-21.15,2359.17061280992
-21.14,2359.17554564046
-21.13,2359.180478471
-21.12,2359.18541130154
-21.11,2359.19034413208
-21.1,2359.19530579205
-21.09,2359.20027502323
-21.08,2359.20524425441
-21.07,2359.21021348559
-21.06,2359.21518271677
-21.05,2359.22015194796
-21.04,2359.22512117914
-21.03,2359.23009041032
-21.02,2359.2350596415
-21.01,2359.24003642258
-21,2359.24504226664
-20.99,2359.25004811071
-20.98,2359.25505395477
-20.97,2359.26005979883
-20.96,2359.26506564289
-20.95,2359.27007148695
-20.94,2359.27507733101
-20.93,2359.28008317507
-20.92,2359.28508901913
-20.91,2359.2901177105
-20.9,2359.29516038042
-20.89,2359.30020305034
-20.88,2359.30524572026
-20.87,2359.31028839018
-20.86,2359.3153310601
-20.85,2359.32037373002
-20.84,2359.32541639994
-20.83,2359.33045906986
-20.82,2359.3355030221
-20.81,2359.34058273159
-20.8,2359.34566244108
-20.79,2359.35074215057
-20.78,2359.35582186006
-20.77,2359.36090156955
-20.76,2359.36598127904
-20.75,2359.37106098853
-20.74,2359.37614069803
-20.73,2359.38122040752
-20.72,2359.38631683758
-20.71,2359.39143380108
-20.7,2359.39655076459
-20.69,2359.40166772809
-20.68,2359.4067846916
-20.67,2359.4119016551
-20.66,2359.41701861861
-20.65,2359.42213558211
-20.64,2359.42725254562
-20.63,2359.43236950912
-20.62,2359.43751880972
-20.61,2359.44267324242
-20.6,2359.44782767511
-20.59,2359.45298210781
-20.58,2359.4581365405
-20.57,2359.4632909732
-20.56,2359.46844540589
-20.55,2359.47359983859
-20.54,2359.47875427128
-20.53,2359.48391915169
-20.52,2359.48911126948
-20.51,2359.49430338727
-20.5,2359.49949550505
-20.49,2359.50468762284
-20.48,2359.50987974063
-20.47,2359.51507185842
-20.46,2359.52026397621
-20.45,2359.52545609399
-20.44,2359.53064821178
-20.43,2359.53586653645
-20.42,2359.54109655596
-20.41,2359.54632657547
-20.4,2359.55155659498
-20.39,2359.5567866145
-20.38,2359.56201663401
-20.37,2359.56724665352
-20.36,2359.57247667303
-20.35,2359.57770669254
-20.34,2359.58294073928
-20.33,2359.58820887787
-20.32,2359.59347701646
-20.31,2359.59874515505
-20.3,2359.60401329364
-20.29,2359.60928143223
-20.28,2359.61454957082
-20.27,2359.61981770942
-20.26,2359.62508584801
-20.25,2359.6303539866
-20.24,2359.63564205492
-20.23,2359.64094853067
-20.22,2359.64625500641
-20.21,2359.65156148216
-20.2,2359.65686795791
-20.19,2359.66217443365
-20.18,2359.6674809094
-20.17,2359.67278738515
-20.16,2359.67809386089
-20.15,2359.68340033664
-20.14,2359.68874282596
-20.13,2359.69408785766
-20.12,2359.69943288936
-20.11,2359.70477792106
-20.1,2359.71012295276
-20.09,2359.71546798447
-20.08,2359.72081301617
-20.07,2359.72615804787
-20.06,2359.73150307957
-20.05,2359.73686161543
-20.04,2359.7422454226
-20.03,2359.74762922978
-20.02,2359.75301303695
-20.01,2359.75839684412
-20,2359.76378065129
-19.99,2359.76916445846
-19.98,2359.77454826564
-19.97,2359.77993207281
-19.96,2359.78531587998
-19.95,2359.79072942025
-19.94,2359.79615222313
-19.93,2359.80157502601
-19.92,2359.80699782888
-19.91,2359.81242063176
-19.9,2359.81784343463
-19.89,2359.82326623751
-19.88,2359.82868904038
-19.87,2359.83411184326
-19.86,2359.83954157481
-19.85,2359.84500359433
-19.84,2359.85046561386
-19.83,2359.85592763338
-19.82,2359.86138965291
-19.81,2359.86685167243
-19.8,2359.87231369196
-19.79,2359.87777571148
-19.78,2359.88323773101
-19.77,2359.88869975053
-19.76,2359.89418507346
-19.75,2359.89968653129
-19.74,2359.90518798913
-19.73,2359.91068944696
-19.72,2359.91619090479
-19.71,2359.92169236262
-19.7,2359.92719382045
-19.69,2359.93269527829
-19.68,2359.93819673612
-19.67,2359.94369839575
-19.66,2359.94923951426
-19.65,2359.95478063276
-19.64,2359.96032175127
-19.63,2359.96586286977
-19.62,2359.97140398828
-19.61,2359.97694510679
-19.6,2359.98248622529
-19.59,2359.9880273438
-19.58,2359.9935684623
-19.57,2359.99912630382
-19.56,2360.00470730607
-19.55,2360.01028830832
-19.54,2360.01586931058
-19.53,2360.02145031283
-19.52,2360.02703131508
-19.51,2360.03261231734
-19.5,2360.03819331959
-19.49,2360.04377432184
-19.48,2360.0493553241
-19.47,2360.05496975595
-19.46,2360.06059086573
-19.45,2360.06621197551
-19.44,2360.07183308528
-19.43,2360.07745419506
-19.42,2360.08307530484
-19.41,2360.08869641462
-19.4,2360.0943175244
-19.39,2360.09993863418
-19.38,2360.1055697344
-19.37,2360.11123117618
-19.36,2360.11689261796
-19.35,2360.12255405974
-19.34,2360.12821550153
-19.33,2360.13387694331
-19.32,2360.13953838509
-19.31,2360.14519982687
-19.3,2360.15086126866
-19.29,2360.15652271044
-19.28,2360.16221099746
-19.27,2360.16791299642
-19.26,2360.17361499538
-19.25,2360.17931699435
-19.24,2360.18501899331
-19.23,2360.19072099228
-19.22,2360.19642299124
-19.21,2360.20212499021
-19.2,2360.20782698917
-19.19,2360.2135320924
-19.18,2360.21927487442
-19.17,2360.22501765644
-19.16,2360.23076043846
-19.15,2360.23650322049
-19.14,2360.24224600251
-19.13,2360.24798878453
-19.12,2360.25373156655
