"Time","Left.Thalamus.Proper"
-0.259999999999998,6295.66836315664
-0.25,6295.6099377542
-0.240000000000002,6295.55151235176
-0.229999999999997,6295.49308694932
-0.219999999999999,6295.43466154687
-0.210000000000001,6295.37624523907
-0.200000000000003,6295.31792221291
-0.189999999999998,6295.25959918674
-0.18,6295.20127616058
-0.170000000000002,6295.14295313442
-0.159999999999997,6295.08463010825
-0.149999999999999,6295.02630708209
-0.140000000000001,6294.96798405593
-0.130000000000003,6294.90966102976
-0.119999999999997,6294.8513380036
-0.109999999999999,6294.79306678593
-0.100000000000001,6294.73484675035
-0.0899999999999963,6294.67662671476
-0.0799999999999983,6294.61840667918
-0.0700000000000003,6294.5601866436
-0.0600000000000023,6294.50196660801
-0.0499999999999972,6294.44374657243
-0.0399999999999991,6294.38552653684
-0.0300000000000011,6294.32730650126
-0.019999999999996,6294.26908646568
-0.00999999999999801,6294.21096145776
0,6294.15284502317
0.00999999999999801,6294.09472858857
0.0200000000000031,6294.03661215398
0.0300000000000011,6293.97849571939
0.0399999999999991,6293.92037928479
0.0499999999999972,6293.8622628502
0.0600000000000023,6293.8041464156
0.0700000000000003,6293.74602998101
0.0799999999999983,6293.68794808624
0.0900000000000034,6293.62993585913
0.100000000000001,6293.57192363203
0.109999999999999,6293.51391140493
0.119999999999997,6293.45589917782
0.130000000000003,6293.39788695072
0.140000000000001,6293.33987472362
0.149999999999999,6293.28186249651
0.160000000000004,6293.22385026941
0.170000000000002,6293.16583804231
0.18,6293.10790396767
0.189999999999998,6293.04999655064
0.200000000000003,6292.9920891336
0.210000000000001,6292.93418171656
0.219999999999999,6292.87627429952
0.230000000000004,6292.81836688249
0.240000000000002,6292.76045946545
0.25,6292.70255204841
0.259999999999998,6292.64464463138
0.270000000000003,6292.58675406536
0.280000000000001,6292.52895205702
0.289999999999999,6292.47115004869
0.299999999999997,6292.41334804035
0.310000000000002,6292.35554603201
0.32,6292.29774402367
0.329999999999998,6292.23994201533
0.340000000000003,6292.18214000699
0.350000000000001,6292.12433799865
0.359999999999999,6292.06653599031
0.369999999999997,6292.00879483526
0.380000000000003,6291.95109883029
0.390000000000001,6291.89340282532
0.399999999999999,6291.83570682034
0.410000000000004,6291.77801081537
0.420000000000002,6291.7203148104
0.43,6291.66261880543
0.439999999999998,6291.60492280046
0.450000000000003,6291.54722679549
0.460000000000001,6291.48953079052
0.469999999999999,6291.4319401298
0.480000000000004,6291.37435071889
0.490000000000002,6291.31676130798
0.5,6291.25917189707
0.509999999999998,6291.20158248616
0.520000000000003,6291.14399307525
0.530000000000001,6291.08640366434
0.539999999999999,6291.02881425343
0.549999999999997,6290.97122484252
0.560000000000002,6290.91367856979
0.57,6290.85619633964
0.579999999999998,6290.79871410949
0.590000000000003,6290.74123187934
0.600000000000001,6290.68374964919
0.609999999999999,6290.62626741904
0.619999999999997,6290.56878518889
0.630000000000003,6290.51130295873
0.640000000000001,6290.45382072858
0.649999999999999,6290.39633849843
0.660000000000004,6290.33894427721
0.670000000000002,6290.2815698105
0.68,6290.2241953438
0.689999999999998,6290.16682087709
0.700000000000003,6290.10944641039
0.710000000000001,6290.05207194368
0.719999999999999,6289.99469747697
0.730000000000004,6289.93732301027
0.740000000000002,6289.87994854356
0.75,6289.82259909217
0.759999999999998,6289.76533296757
0.770000000000003,6289.70806684297
0.780000000000001,6289.65080071837
0.789999999999999,6289.59353459376
0.799999999999997,6289.53626846916
0.810000000000002,6289.47900234456
0.82,6289.42173621995
0.829999999999998,6289.36447009535
0.840000000000003,6289.30720397075
0.850000000000001,6289.25000810806
0.859999999999999,6289.19285090017
0.869999999999997,6289.13569369229
0.880000000000003,6289.0785364844
0.890000000000001,6289.02137927652
0.899999999999999,6288.96422206863
0.910000000000004,6288.90706486075
0.920000000000002,6288.84990765286
0.93,6288.79275044498
0.939999999999998,6288.73559973004
0.950000000000003,6288.67855200943
0.960000000000001,6288.62150428882
0.969999999999999,6288.56445656821
0.980000000000004,6288.50740884759
0.990000000000002,6288.45036112698
1,6288.39331340637
1.01,6288.33626568575
1.02,6288.27921796514
1.03,6288.22217024453
1.04,6288.16517463535
1.05,6288.10823696849
