"Time","P_D1D2"
-41.9,-263745.714230467
-41.89,-263658.896756936
-41.88,-263572.079283406
-41.87,-263485.261809876
-41.86,-263398.444336345
-41.85,-263311.626862815
-41.84,-263224.809389284
-41.83,-263137.948680885
-41.82,-263050.843411453
-41.81,-262963.738142021
-41.8,-262876.632872589
-41.79,-262789.527603157
-41.78,-262702.422333725
-41.77,-262615.317064293
-41.76,-262528.211794861
-41.75,-262441.106525429
-41.74,-262354.001255998
-41.73,-262266.895986566
-41.72,-262179.787596949
-41.71,-262092.394118889
-41.7,-262005.000640828
-41.69,-261917.607162767
-41.68,-261830.213684706
-41.67,-261742.820206645
-41.66,-261655.426728584
-41.65,-261568.033250523
-41.64,-261480.639772462
-41.63,-261393.246294401
-41.62,-261305.85281634
-41.61,-261218.45933828
-41.6,-261130.814350359
-41.59,-261043.132253152
-41.58,-260955.450155945
-41.57,-260867.768058738
-41.56,-260780.085961532
-41.55,-260692.403864325
-41.54,-260604.721767118
-41.53,-260517.039669911
-41.52,-260429.357572705
-41.51,-260341.675475498
-41.5,-260253.993378291
-41.49,-260166.09970626
-41.48,-260078.128581616
-41.47,-259990.157456972
-41.46,-259902.186332328
-41.45,-259814.215207684
-41.44,-259726.24408304
-41.43,-259638.272958396
-41.42,-259550.301833752
-41.41,-259462.330709108
-41.4,-259374.359584464
-41.39,-259286.38845982
-41.38,-259198.245810548
-41.37,-259109.985252416
-41.36,-259021.724694283
-41.35,-258933.464136151
-41.34,-258845.203578019
-41.33,-258756.943019887
-41.32,-258668.682461754
-41.31,-258580.421903622
-41.3,-258492.16134549
-41.29,-258403.900787358
-41.28,-258315.640229225
-41.27,-258227.248310891
-41.26,-258138.697915475
-41.25,-258050.147520059
-41.24,-257961.597124643
-41.23,-257873.046729227
-41.22,-257784.496333811
-41.21,-257695.945938394
-41.2,-257607.395542978
-41.19,-257518.845147562
-41.18,-257430.294752146
-41.17,-257341.74435673
-41.16,-257253.10287883
-41.15,-257164.262244605
-41.14,-257075.421610379
-41.13,-256986.580976154
-41.12,-256897.740341929
-41.11,-256808.899707703
-41.1,-256720.059073478
-41.09,-256631.218439252
-41.08,-256542.377805027
-41.07,-256453.537170801
-41.06,-256364.696536576
-41.05,-256275.80520993
-41.04,-256186.673937655
-41.03,-256097.542665381
-41.02,-256008.411393106
-41.01,-255919.280120831
-41,-255830.148848556
-40.99,-255741.017576281
-40.98,-255651.886304006
-40.97,-255562.755031731
-40.96,-255473.623759456
-40.95,-255384.492487182
-40.94,-255295.35102394
-40.93,-255205.928716675
-40.92,-255116.506409411
-40.91,-255027.084102146
-40.9,-254937.661794882
-40.89,-254848.239487618
-40.88,-254758.817180353
-40.87,-254669.394873089
