"Time","Left.Lateral.Ventricle"
28.89,33309.2123909488
28.9,33311.1274862203
28.91,33313.0425814919
28.92,33314.9576767634
28.93,33316.8727890233
28.94,33318.7901945172
28.95,33320.7076000111
28.96,33322.625005505
28.97,33324.5424109989
28.98,33326.4598164928
28.99,33328.3772219868
29,33330.2946274807
29.01,33332.2120329746
29.02,33334.1294384685
29.03,33336.0478196491
29.04,33337.9675396144
29.05,33339.8872595796
29.06,33341.8069795449
29.07,33343.7266995102
29.08,33345.6464194755
29.09,33347.5661394408
29.1,33349.4858594061
29.11,33351.4055793713
29.12,33353.3252993366
29.13,33355.2469572141
29.14,33357.1689959084
29.15,33359.0910346028
29.16,33361.0130732971
29.17,33362.9351119914
29.18,33364.8571506858
29.19,33366.7791893801
29.2,33368.7012280744
29.21,33370.6232667688
29.22,33372.5458861434
29.23,33374.4702478331
29.24,33376.3946095228
29.25,33378.3189712125
29.26,33380.2433329023
29.27,33382.167694592
29.28,33384.0920562817
29.29,33386.0164179714
29.3,33387.9407796611
29.31,33389.8651413509
29.32,33391.7910487581
29.33,33393.7177377182
29.34,33395.6444266784
29.35,33397.5711156386
29.36,33399.4978045987
29.37,33401.4244935589
29.38,33403.351182519
29.39,33405.2778714792
29.4,33407.2045604393
29.41,33409.1314321509
29.42,33411.0604526653
29.43,33412.9894731796
29.44,33414.918493694
29.45,33416.8475142083
29.46,33418.7765347227
29.47,33420.705555237
29.48,33422.6345757514
29.49,33424.5635962658
29.5,33426.4926167801
29.51,33428.4227879032
29.52,33430.3541442643
29.53,33432.2855006253
29.54,33434.2168569864
29.55,33436.1482133475
29.56,33438.0795697085
29.57,33440.0109260696
29.58,33441.9422824306
29.59,33443.8736387917
29.6,33445.8049951528
29.61,33447.7384735438
29.62,33449.6721700528
29.63,33451.6058665618
29.64,33453.5395630709
29.65,33455.4732595799
29.66,33457.4069560889
29.67,33459.3406525979
29.68,33461.2743491069
29.69,33463.2080456159
29.7,33465.142494693
29.71,33467.07853566
29.72,33469.0145766271
29.73,33470.9506175941
29.74,33472.8866585611
29.75,33474.8226995281
29.76,33476.7587404951
29.77,33478.6947814621
29.78,33480.6308224291
29.79,33482.5668633961
29.8,33484.5046311942
29.81,33486.443020938
29.82,33488.3814106819
29.83,33490.3198004257
29.84,33492.2581901696
29.85,33494.1965799134
29.86,33496.1349696572
29.87,33498.0733594011
29.88,33500.0117491449
29.89,33501.9504904662
29.9,33503.8912333145
29.91,33505.8319761629
29.92,33507.7727190112
29.93,33509.7134618595
29.94,33511.6542047079
29.95,33513.5949475562
29.96,33515.5356904045
29.97,33517.4764332528
29.98,33519.4171761012
29.99,33521.3592476402
30,33523.3023479295
30.01,33525.2454482189
30.02,33527.1885485082
30.03,33529.1316487975
30.04,33531.0747490868
30.05,33533.0178493761
30.06,33534.9609496654
30.07,33536.9040499547
30.08,33538.847150244
30.09,33540.7925599384
30.1,33542.7380220141
30.11,33544.6834840897
30.12,33546.6289461654
30.13,33548.574408241
30.14,33550.5198703167
30.15,33552.4653323923
30.16,33554.410794468
30.17,33556.3562565436
30.18,33558.3026462102
30.19,33560.2504744265
30.2,33562.1983026427
30.21,33564.1461308589
30.22,33566.0939590751
30.23,33568.0417872914
30.24,33569.9896155076
30.25,33571.9374437238
30.26,33573.88527194
30.27,33575.8331001562
30.28,33577.78283955
30.29,33579.7330382699
30.3,33581.6832369898
30.31,33583.6334357098
30.32,33585.5836344297
30.33,33587.5338331497
30.34,33589.4840318696
30.35,33591.4342305895
30.36,33593.3844293095
30.37,33595.335151543
30.38,33597.2877251387
30.39,33599.2402987344
30.4,33601.1928723301
30.41,33603.1454459259
30.42,33605.0980195216
30.43,33607.0505931173
30.44,33609.003166713
30.45,33610.9557403087
30.46,33612.9083139044
30.47,33614.8623974811
30.48,33616.8173503336
30.49,33618.7723031861
30.5,33620.7272560386
30.51,33622.6822088911
30.52,33624.6371617436
30.53,33626.5921145961
30.54,33628.5470674486
30.55,33630.5020203011
30.56,33632.4570895938
30.57,33634.4144260931
30.58,33636.3717625924
30.59,33638.3290990916
30.6,33640.2864355909
30.61,33642.2437720901
30.62,33644.2011085894
30.63,33646.1584450887
30.64,33648.1157815879
30.65,33650.0731180872
30.66,33652.0315603836
30.67,33653.9912849285
30.68,33655.9510094735
30.69,33657.9107340185
30.7,33659.8704585635
30.71,33661.8301831085
30.72,33663.7899076534
30.73,33665.7496321984
30.74,33667.7093567434
30.75,33669.6690812884
30.76,33671.6309046394
30.77,33673.5930216381
30.78,33675.5551386368
30.79,33677.5172556354
30.8,33679.4793726341
30.81,33681.4414896327
30.82,33683.4036066314
30.83,33685.36572363
30.84,33687.3278406287
30.85,33689.290656235
30.86,33691.2551701043
30.87,33693.2196839737
30.88,33695.184197843
30.89,33697.1487117123
30.9,33699.1132255817
30.91,33701.077739451
30.92,33703.0422533203
30.93,33705.0067671897
30.94,33706.971281059
30.95,33708.9374894567
30.96,33710.9044046228
30.97,33712.8713197888
30.98,33714.8382349548
30.99,33716.8051501209
31,33718.7720652869
31.01,33720.738980453
31.02,33722.705895619
31.03,33724.6728107851
31.04,33726.6400143451
31.05,33728.609335243
31.06,33730.5786561409
31.07,33732.5479770387
31.08,33734.5172979366
31.09,33736.4866188345
31.1,33738.4559397324
31.11,33740.4252606302
31.12,33742.3945815281
31.13,33744.363902426
31.14,33746.3345105592
31.15,33748.3062416331
31.16,33750.277972707
31.17,33752.2497037809
31.18,33754.2214348548
31.19,33756.1931659287
31.2,33758.1648970026
31.21,33760.1366280765
31.22,33762.1083591504
31.23,33764.0800902243
31.24,33766.054111065
31.25,33768.0282567683
31.26,33770.0024024716
31.27,33771.9765481748
31.28,33773.9506938781
31.29,33775.9248395813
31.3,33777.8989852845
31.31,33779.8731309878
31.32,33781.8472766911
31.33,33783.8222993025
31.34,33785.7988640976
31.35,33787.7754288926
31.36,33789.7519936877
31.37,33791.7285584827
31.38,33793.7051232778
31.39,33795.6816880728
31.4,33797.6582528679
31.41,33799.6348176629
31.42,33801.611382458
31.43,33803.5898296359
31.44,33805.5688179943
31.45,33807.5478063528
31.46,33809.5267947112
31.47,33811.5057830697
31.48,33813.4847714281
31.49,33815.4637597866
31.5,33817.442748145
