"Time","Right.Hippocampus"
4.69,2788.93242194313
4.7,2788.894062629
4.71,2788.85570331488
4.72,2788.81734400076
4.73,2788.77898468663
4.74,2788.74062537251
4.75,2788.70226605839
4.76,2788.66390674426
4.77,2788.62554743014
4.78,2788.58722111162
4.79,2788.54891437766
4.8,2788.51060764371
4.81,2788.47230090976
4.82,2788.43399417581
4.83,2788.39568744186
4.84,2788.35738070791
4.85,2788.31907397396
4.86,2788.28076724001
4.87,2788.24246271207
4.88,2788.20420883595
4.89,2788.16595495983
4.9,2788.1277010837
4.91,2788.08944720758
4.92,2788.05119333145
4.93,2788.01293945533
4.94,2787.97468557921
4.95,2787.93643170308
4.96,2787.89817782696
4.97,2787.85994817684
4.98,2787.82174743485
4.99,2787.78354669286
5,2787.74534595087
5.01,2787.70714520888
5.02,2787.66894446689
5.03,2787.6307437249
5.04,2787.59254298291
5.05,2787.55434224092
5.06,2787.51614149893
5.07,2787.47798723066
5.08,2787.43983989775
5.09,2787.40169256485
5.1,2787.36354523194
5.11,2787.32539789904
5.12,2787.28725056613
5.13,2787.24910323323
5.14,2787.21095590032
5.15,2787.17280856742
5.16,2787.13467649928
5.17,2787.09658284905
5.18,2787.05848919883
5.19,2787.0203955486
5.2,2786.98230189837
5.21,2786.94420824814
5.22,2786.90611459791
5.23,2786.86802094768
5.24,2786.82992729746
5.25,2786.79183364723
5.26,2786.7537776876
5.27,2786.71573799228
5.28,2786.67769829695
5.29,2786.63965860163
5.3,2786.6016189063
5.31,2786.56357921097
5.32,2786.52553951565
5.33,2786.48749982032
5.34,2786.449460125
5.35,2786.41142654434
5.36,2786.37344107477
5.37,2786.3354556052
5.38,2786.29747013563
5.39,2786.25948466606
5.4,2786.22149919649
5.41,2786.18351372692
5.42,2786.14552825735
5.43,2786.10754278778
5.44,2786.06955731821
5.45,2786.03160056594
5.46,2785.9936695916
5.47,2785.95573861726
5.48,2785.91780764293
5.49,2785.87987666859
5.5,2785.84194569426
5.51,2785.80401471992
5.52,2785.76608374558
5.53,2785.72815277125
5.54,2785.69022179691
5.55,2785.65234236443
5.56,2785.61446615342
5.57,2785.57658994241
5.58,2785.5387137314
5.59,2785.5008375204
5.6,2785.46296130939
5.61,2785.42508509838
5.62,2785.38720888737
5.63,2785.34933267637
5.64,2785.31147602194
5.65,2785.27365484097
5.66,2785.23583366
5.67,2785.19801247903
5.68,2785.16019129806
5.69,2785.12237011709
5.7,2785.08454893611
5.71,2785.04672775514
5.72,2785.00890657417
5.73,2784.9710853932
5.74,2784.93330676675
5.75,2784.89554088113
5.76,2784.85777499551
5.77,2784.82000910988
5.78,2784.78224322426
5.79,2784.74447733864
5.8,2784.70671145302
5.81,2784.6689455674
5.82,2784.63117968178
5.83,2784.59342400748
5.84,2784.55571368112
5.85,2784.51800335477
5.86,2784.48029302841
5.87,2784.44258270206
5.88,2784.4048723757
5.89,2784.36716204935
5.9,2784.32945172299
5.91,2784.29174139664
5.92,2784.25403107029
5.93,2784.21635412519
5.94,2784.17869962062
5.95,2784.14104511604
5.96,2784.10339061147
5.97,2784.06573610689
5.98,2784.02808160232
5.99,2783.99042709774
6,2783.95277259317
6.01,2783.91511808859
6.02,2783.87746426838
6.03,2783.83986584669
6.04,2783.802267425
6.05,2783.76466900331
6.06,2783.72707058161
6.07,2783.68947215992
6.08,2783.65187373823
6.09,2783.61427531654
6.1,2783.57667689485
6.11,2783.53907847315
6.12,2783.50150407641
6.13,2783.46396199729
6.14,2783.42641991818
6.15,2783.38887783906
6.16,2783.35133575994
6.17,2783.31379368082
6.18,2783.2762516017
6.19,2783.23870952259
6.2,2783.20116744347
6.21,2783.16362536435
6.22,2783.1261308647
6.23,2783.08864538643
6.24,2783.05115990816
6.25,2783.01367442989
6.26,2782.97618895161
6.27,2782.93870347334
6.28,2782.90121799507
6.29,2782.8637325168
6.3,2782.82624703853
6.31,2782.78877604872
6.32,2782.75134742814
6.33,2782.71391880757
6.34,2782.67649018699
6.35,2782.63906156641
6.36,2782.60163294584
6.37,2782.56420432526
6.38,2782.52677570468
6.39,2782.48934708411
6.4,2782.45191846353
6.41,2782.41452805308
6.42,2782.37715654561
6.43,2782.33978503815
6.44,2782.30241353069
6.45,2782.26504202323
6.46,2782.22767051577
6.47,2782.1902990083
6.48,2782.15292750084
6.49,2782.11555599338
6.5,2782.07818926064
6.51,2782.04087512028
6.52,2782.00356097992
6.53,2781.96624683956
6.54,2781.9289326992
6.55,2781.89161855884
6.56,2781.85430441848
6.57,2781.81699027812
6.58,2781.77967613776
6.59,2781.7423619974
6.6,2781.70507651917
6.61,2781.66781999846
6.62,2781.63056347776
6.63,2781.59330695705
6.64,2781.55605043634
6.65,2781.51879391563
6.66,2781.48153739492
6.67,2781.44428087421
6.68,2781.4070243535
6.69,2781.36976783279
6.7,2781.33256406952
6.71,2781.29536541956
6.72,2781.25816676961
6.73,2781.22096811966
6.74,2781.18376946971
6.75,2781.14657081976
6.76,2781.10937216981
6.77,2781.07217351985
6.78,2781.0349748699
6.79,2780.99779515837
6.8,2780.96065462884
6.81,2780.9235140993
6.82,2780.88637356976
6.83,2780.84923304023
6.84,2780.81209251069
6.85,2780.77495198116
6.86,2780.73781145162
6.87,2780.70067092208
6.88,2780.66353039255
6.89,2780.62643305893
6.9,2780.58935089801
6.91,2780.5522687371
6.92,2780.51518657619
6.93,2780.47810441527
6.94,2780.44102225436
6.95,2780.40394009345
6.96,2780.36685793253
6.97,2780.32977577162
6.98,2780.29270265267
6.99,2780.25567910714
7,2780.2186555616
7.01,2780.18163201606
7.02,2780.14460847052
7.03,2780.10758492498
7.04,2780.07056137944
7.05,2780.0335378339
7.06,2779.99651428836
7.07,2779.95949074282
7.08,2779.9225006575
7.09,2779.88553597263
7.1,2779.84857128775
7.11,2779.81160660287
7.12,2779.774641918
7.13,2779.73767723312
7.14,2779.70071254824
7.15,2779.66374786337
7.16,2779.62678317849
7.17,2779.58981849361
7.18,2779.55291188898
7.19,2779.51600630859
