"Time","Right.Cerebral.White.Matter"
28.83,224533.941252802
28.84,224533.943156085
28.85,224533.945042684
28.86,224533.946929284
28.87,224533.948815884
28.88,224533.950702484
28.89,224533.952589083
28.9,224533.954475683
28.91,224533.956362283
28.92,224533.958248882
28.93,224533.960135186
28.94,224533.961981582
28.95,224533.963827977
28.96,224533.965674372
28.97,224533.967520767
28.98,224533.969367163
28.99,224533.971213558
29,224533.973059953
29.01,224533.974906348
29.02,224533.976752743
29.03,224533.978582522
29.04,224533.9803895
29.05,224533.982196478
29.06,224533.984003456
29.07,224533.985810434
29.08,224533.987617412
29.09,224533.98942439
29.1,224533.991231368
29.11,224533.993038346
29.12,224533.994845324
29.13,224533.996620005
29.14,224533.99838834
29.15,224534.000156674
29.16,224534.001925009
29.17,224534.003693343
29.18,224534.005461678
29.19,224534.007230012
29.2,224534.008998346
29.21,224534.010766681
29.22,224534.012525545
29.23,224534.014255996
29.24,224534.015986447
29.25,224534.017716897
29.26,224534.019447348
29.27,224534.021177799
29.28,224534.02290825
29.29,224534.0246387
29.3,224534.026369151
29.31,224534.028099602
29.32,224534.029805387
29.33,224534.0314987
29.34,224534.033192014
29.35,224534.034885327
29.36,224534.036578641
29.37,224534.038271954
29.38,224534.039965268
29.39,224534.041658581
29.4,224534.043351895
29.41,224534.045042355
29.42,224534.046699264
29.43,224534.048356174
29.44,224534.050013084
29.45,224534.051669993
29.46,224534.053326903
29.47,224534.054983813
29.48,224534.056640722
29.49,224534.058297632
29.5,224534.059954542
29.51,224534.061593874
29.52,224534.0632151
29.53,224534.064836326
29.54,224534.066457552
29.55,224534.068078778
29.56,224534.069700004
29.57,224534.07132123
29.58,224534.072942457
29.59,224534.074563683
29.6,224534.076184909
29.61,224534.077774419
29.62,224534.079360669
29.63,224534.080946919
29.64,224534.082533169
29.65,224534.084119419
29.66,224534.085705669
29.67,224534.087291919
29.68,224534.088878169
29.69,224534.090464419
29.7,224534.092039665
29.71,224534.093591634
29.72,224534.095143603
29.73,224534.096695572
29.74,224534.098247541
29.75,224534.09979951
29.76,224534.101351479
29.77,224534.102903448
29.78,224534.104455417
29.79,224534.106007386
29.8,224534.107534653
29.81,224534.109053024
29.82,224534.110571394
29.83,224534.112089764
29.84,224534.113608135
29.85,224534.115126505
29.86,224534.116644876
29.87,224534.118163246
29.88,224534.119681616
29.89,224534.121195067
29.9,224534.122680509
29.91,224534.124165951
29.92,224534.125651393
29.93,224534.127136835
29.94,224534.128622277
29.95,224534.13010772
29.96,224534.131593162
29.97,224534.133078604
29.98,224534.134564046
29.99,224534.1360313
30,224534.137484472
30.01,224534.138937644
30.02,224534.140390816
30.03,224534.141843988
30.04,224534.14329716
30.05,224534.144750332
30.06,224534.146203504
30.07,224534.147656677
30.08,224534.149109849
30.09,224534.150532098
30.1,224534.151953647
30.11,224534.153375195
30.12,224534.154796744
30.13,224534.156218292
30.14,224534.157639841
30.15,224534.159061389
30.16,224534.160482937
30.17,224534.161904486
30.18,224534.163313886
30.19,224534.164704445
30.2,224534.166095005
30.21,224534.167485564
30.22,224534.168876124
30.23,224534.170266684
30.24,224534.171657243
30.25,224534.173047803
30.26,224534.174438362
30.27,224534.175828922
30.28,224534.177195
30.29,224534.178555193
30.3,224534.179915387
30.31,224534.181275581
30.32,224534.182635775
30.33,224534.183995969
30.34,224534.185356163
30.35,224534.186716357
30.36,224534.188076551
30.37,224534.189430186
30.38,224534.190760626
30.39,224534.192091067
30.4,224534.193421507
30.41,224534.194751947
30.42,224534.196082387
30.43,224534.197412828
30.44,224534.198743268
30.45,224534.200073708
30.46,224534.201404148
30.47,224534.202716087
30.48,224534.204017374
30.49,224534.205318662
30.5,224534.206619949
30.51,224534.207921237
30.52,224534.209222524
30.53,224534.210523812
30.54,224534.211825099
30.55,224534.213126387
30.56,224534.214426279
30.57,224534.215699003
30.58,224534.216971728
30.59,224534.218244452
30.6,224534.219517177
30.61,224534.220789901
30.62,224534.222062626
30.63,224534.223335351
30.64,224534.224608075
30.65,224534.2258808
30.66,224534.227140566
30.67,224534.228385307
30.68,224534.229630047
30.69,224534.230874788
30.7,224534.232119529
30.71,224534.23336427
30.72,224534.23460901
30.73,224534.235853751
30.74,224534.237098492
30.75,224534.238343232
30.76,224534.239563923
30.77,224534.240781248
30.78,224534.241998574
30.79,224534.243215899
30.8,224534.244433224
30.81,224534.24565055
30.82,224534.246867875
30.83,224534.248085201
30.84,224534.249302526
30.85,224534.250512023
30.86,224534.251702492
30.87,224534.25289296
30.88,224534.254083428
30.89,224534.255273896
30.9,224534.256464364
30.91,224534.257654832
30.92,224534.258845301
30.93,224534.260035769
30.94,224534.261226237
30.95,224534.262398139
30.96,224534.263562298
30.97,224534.264726457
30.98,224534.265890615
30.99,224534.267054774
31,224534.268218933
31.01,224534.269383091
31.02,224534.27054725
31.03,224534.271711409
31.04,224534.272872478
31.05,224534.274010865
31.06,224534.275149252
31.07,224534.276287639
31.08,224534.277426026
31.09,224534.278564413
31.1,224534.2797028
31.11,224534.280841187
31.12,224534.281979574
31.13,224534.283117961
31.14,224534.284242865
31.15,224534.285356008
31.16,224534.286469151
31.17,224534.287582294
31.18,224534.288695437
31.19,224534.28980858
31.2,224534.290921723
31.21,224534.292034866
31.22,224534.293148009
31.23,224534.294261152
31.24,224534.295350848
31.25,224534.296439265
