"Time","Left.Caudate"
-46.6,3329.8163637188
-46.59,3329.8332201172
-46.58,3329.85007651559
-46.57,3329.86693291399
-46.56,3329.88378931239
-46.55,3329.90064571079
-46.54,3329.91750210919
-46.53,3329.93435850759
-46.52,3329.95121490599
-46.51,3329.96807325036
-46.5,3329.98500039665
-46.49,3330.00192754294
-46.48,3330.01885468923
-46.47,3330.03578183552
-46.46,3330.05270898181
-46.45,3330.0696361281
-46.44,3330.08656327439
-46.43,3330.10349042068
-46.42,3330.12041756698
-46.41,3330.13737607127
-46.4,3330.15437420961
-46.39,3330.17137234796
-46.38,3330.18837048631
-46.37,3330.20536862466
-46.36,3330.22236676301
-46.35,3330.23936490136
-46.34,3330.25636303971
-46.33,3330.27336117805
-46.32,3330.2903593164
-46.31,3330.30741842754
-46.3,3330.3244878027
-46.29,3330.34155717785
-46.28,3330.358626553
-46.27,3330.37569592816
-46.26,3330.39276530331
-46.25,3330.40983467846
-46.24,3330.42690405362
-46.23,3330.44397342877
-46.22,3330.46106211287
-46.21,3330.47820297015
-46.2,3330.49534382744
-46.19,3330.51248468473
-46.18,3330.52962554202
-46.17,3330.5467663993
-46.16,3330.56390725659
-46.15,3330.58104811388
-46.14,3330.59818897117
-46.13,3330.61532982845
-46.12,3330.63251977127
-46.11,3330.64973235661
-46.1,3330.66694494194
-46.09,3330.68415752728
-46.08,3330.70137011261
-46.07,3330.71858269794
-46.06,3330.73579528328
-46.05,3330.75300786861
-46.04,3330.77022045395
-46.03,3330.78744013122
-46.02,3330.80472469109
-46.01,3330.82200925097
-46,3330.83929381084
-45.99,3330.85657837072
-45.98,3330.87386293059
-45.97,3330.89114749047
-45.96,3330.90843205034
-45.95,3330.92571661022
-45.94,3330.94300117009
-45.93,3330.96032276085
-45.92,3330.97767954235
-45.91,3330.99503632384
-45.9,3331.01239310534
-45.89,3331.02974988683
-45.88,3331.04710666833
-45.87,3331.06446344982
-45.86,3331.08182023132
-45.85,3331.09917701281
-45.84,3331.11653379431
-45.83,3331.13395775086
-45.82,3331.15138700163
-45.81,3331.16881625241
-45.8,3331.18624550318
-45.79,3331.20367475396
-45.78,3331.22110400473
-45.77,3331.23853325551
-45.76,3331.25596250628
-45.75,3331.27339175706
-45.74,3331.29084581548
-45.73,3331.30834778378
-45.72,3331.32584975208
-45.71,3331.34335172038
-45.7,3331.36085368868
-45.69,3331.37835565698
-45.68,3331.39585762528
-45.67,3331.41335959358
-45.66,3331.43086156188
-45.65,3331.44836353017
-45.64,3331.46592061409
-45.63,3331.48349554874
-45.62,3331.50107048339
-45.61,3331.51864541804
-45.6,3331.53622035269
-45.59,3331.55379528734
-45.58,3331.57137022199
-45.57,3331.58894515664
-45.56,3331.60652009129
-45.55,3331.62410744057
-45.54,3331.64175559098
-45.53,3331.6594037414
-45.52,3331.67705189181
-45.51,3331.69470004222
-45.5,3331.71234819264
-45.49,3331.72999634305
-45.48,3331.74764449346
-45.47,3331.76529264388
-45.46,3331.78294079429
-45.45,3331.80063183165
-45.44,3331.81835344782
-45.43,3331.83607506399
-45.42,3331.85379668016
-45.41,3331.87151829633
-45.4,3331.8892399125
-45.39,3331.90696152867
-45.38,3331.92468314484
-45.37,3331.94240476101
-45.36,3331.96012637718
-45.35,3331.9779215603
-45.34,3331.9957168928
-45.33,3332.01351222531
-45.32,3332.03130755781
-45.31,3332.04910289031
-45.3,3332.06689822282
-45.29,3332.08469355532
-45.28,3332.10248888783
-45.27,3332.12028422033
-45.26,3332.1381100407
-45.25,3332.1559793407
