"Time","Left.Amygdala"
27.25,823.761812210699
27.26,823.733328087467
27.27,823.704843964235
27.28,823.676359841003
27.29,823.647875717771
27.3,823.619391594538
27.31,823.59089507707
27.32,823.562398121472
27.33,823.533901165875
27.34,823.505404210277
27.35,823.476907254679
27.36,823.448410299081
27.37,823.419913343483
27.38,823.391416387886
27.39,823.362919432288
27.4,823.33441757761
27.41,823.305907731838
27.42,823.277397886066
27.43,823.248888040294
27.44,823.220378194521
27.45,823.191868348749
27.46,823.163358502977
27.47,823.134848657205
27.48,823.106338811432
27.49,823.07782896566
27.5,823.049308835651
27.51,823.020786041822
27.52,822.992263247994
27.53,822.963740454165
27.54,822.935217660336
27.55,822.906694866508
27.56,822.878172072679
27.57,822.84964927885
27.58,822.821126485022
27.59,822.792600979772
27.6,822.764065179932
27.61,822.735529380091
27.62,822.70699358025
27.63,822.67845778041
27.64,822.649921980569
27.65,822.621386180728
27.66,822.592850380888
27.67,822.564314581047
27.68,822.535778781207
27.69,822.507234846648
27.7,822.478685982766
27.71,822.450137118884
27.72,822.421588255002
27.73,822.39303939112
27.74,822.364490527238
27.75,822.335941663355
27.76,822.307392799473
27.77,822.278843935591
27.78,822.25029458769
27.79,822.221732601662
27.8,822.193170615635
27.81,822.164608629608
27.82,822.136046643581
27.83,822.107484657554
27.84,822.078922671526
27.85,822.050360685499
27.86,822.021798699472
27.87,821.993236713445
27.88,821.964668781887
27.89,821.936093615537
27.9,821.907518449186
27.91,821.878943282836
27.92,821.850368116485
27.93,821.821792950134
27.94,821.793217783784
27.95,821.764642617433
27.96,821.736067451082
27.97,821.707492284732
27.98,821.67890566308
27.99,821.650317258153
28,821.621728853225
28.01,821.593140448298
28.02,821.56455204337
28.03,821.535963638443
28.04,821.507375233516
28.05,821.478786828588
28.06,821.450198423661
28.07,821.421606302213
28.08,821.39300460038
28.09,821.364402898547
28.1,821.335801196715
28.11,821.307199494882
28.12,821.278597793049
28.13,821.249996091216
28.14,821.221394389384
28.15,821.192792687551
28.16,821.164190985718
28.17,821.135580019196
28.18,821.106964962054
28.19,821.078349904911
28.2,821.049734847769
28.21,821.021119790627
28.22,820.992504733484
28.23,820.963889676342
28.24,820.9352746192
28.25,820.906659562057
28.26,820.878043057379
28.27,820.849414586447
28.28,820.820786115515
28.29,820.792157644583
28.3,820.76352917365
28.31,820.734900702718
28.32,820.706272231786
28.33,820.677643760853
28.34,820.649015289921
28.35,820.620386818989
28.36,820.59175131388
28.37,820.563109370601
28.38,820.534467427322
28.39,820.505825484043
28.4,820.477183540764
28.41,820.448541597485
28.42,820.419899654207
28.43,820.391257710928
28.44,820.362615767649
28.45,820.33397382437
28.46,820.305319211692
28.47,820.276663737433
28.48,820.248008263174
28.49,820.219352788916
28.5,820.190697314657
28.51,820.162041840398
28.52,820.133386366139
28.53,820.10473089188
28.54,820.076075417621
28.55,820.047415179755
28.56,820.018746115806
28.57,819.990077051856
28.58,819.961407987907
28.59,819.932738923957
28.6,819.904069860008
28.61,819.875400796058
28.62,819.846731732109
28.63,819.818062668159
28.64,819.78939360421
28.65,819.760714102769
28.66,819.732031390341
28.67,819.703348677913
28.68,819.674665965485
28.69,819.645983253057
28.7,819.617300540629
28.71,819.588617828201
28.72,819.559935115773
28.73,819.531252403345
28.74,819.502567238095
28.75,819.473870818322
28.76,819.44517439855
28.77,819.416477978777
28.78,819.387781559005
28.79,819.359085139233
28.8,819.330388719461
28.81,819.301692299688
28.82,819.272995879916
28.83,819.244299460144
28.84,819.215594874926
28.85,819.186884688866
28.86,819.158174502805
28.87,819.129464316744
28.88,819.100754130684
28.89,819.072043944623
28.9,819.043333758563
28.91,819.014623572502
28.92,818.985913386441
28.93,818.957203098716
28.94,818.928479087344
28.95,818.899755075973
28.96,818.871031064602
28.97,818.84230705323
28.98,818.813583041859
28.99,818.784859030487
29,818.756135019116
29.01,818.727411007745
29.02,818.698686996373
29.03,818.6699571319
29.04,818.641219236117
29.05,818.612481340333
29.06,818.58374344455
29.07,818.555005548766
29.08,818.526267652982
29.09,818.497529757199
29.1,818.468791861415
29.11,818.440053965632
29.12,818.411316069848
29.13,818.3825665205
29.14,818.353814681124
29.15,818.325062841747
29.16,818.296311002371
29.17,818.267559162994
29.18,818.238807323618
29.19,818.210055484242
29.2,818.181303644865
29.21,818.152551805489
29.22,818.123796465812
29.23,818.095030623583
29.24,818.066264781353
29.25,818.037498939124
29.26,818.008733096895
29.27,817.979967254665
29.28,817.951201412436
29.29,817.922435570206
29.3,817.893669727977
29.31,817.864903885747
29.32,817.836128703744
29.33,817.807348799322
29.34,817.778568894899
29.35,817.749788990476
29.36,817.721009086053
29.37,817.69222918163
29.38,817.663449277208
29.39,817.634669372785
29.4,817.605889468362
29.41,817.577108457062
29.42,817.548314431025
29.43,817.519520404988
29.44,817.490726378952
29.45,817.461932352915
29.46,817.433138326878
29.47,817.404344300841
29.48,817.375550274805
29.49,817.346756248768
29.5,817.317962222731
29.51,817.289161211255
29.52,817.260353004103
29.53,817.231544796952
29.54,817.2027365898
29.55,817.173928382648
29.56,817.145120175496
29.57,817.116311968344
29.58,817.087503761192
29.59,817.05869555404
29.6,817.029887346888
29.61,817.00106622637
29.62,816.97224377852
29.63,816.943421330671
29.64,816.914598882821
29.65,816.885776434972
29.66,816.856953987122
29.67,816.828131539273
29.68,816.799309091423
29.69,816.770486643574
29.7,816.741659605326
29.71,816.712822857115
29.72,816.683986108904
29.73,816.655149360693
29.74,816.626312612482
29.75,816.597475864271
29.76,816.56863911606
29.77,816.539802367849
29.78,816.510965619638
29.79,816.482128871428
29.8,816.453281565603
29.81,816.424430457285
29.82,816.395579348967
29.83,816.366728240649
29.84,816.337877132331
29.85,816.309026024013
29.86,816.280174915695
29.87,816.251323807377
29.88,816.222472699059
29.89,816.193619436258
29.9,816.164753908005
29.91,816.135888379752
29.92,816.1070228515
29.93,816.078157323247
29.94,816.049291794994
29.95,816.020426266741
29.96,815.991560738488
29.97,815.962695210235
29.98,815.933829681983
29.99,815.904955992662
30,815.876075984564
30.01,815.847195976466
30.02,815.818315968368
30.03,815.78943596027
30.04,815.760555952172
30.05,815.731675944074
30.06,815.702795935976
30.07,815.673915927878
30.08,815.64503591978
30.09,815.616141694317
30.1,815.587247146381
30.11,815.558352598444
30.12,815.529458050508
30.13,815.500563502571
30.14,815.471668954635
30.15,815.442774406698
30.16,815.413879858762
30.17,815.384985310825
30.18,815.356085039328
30.19,815.327175891477
30.2,815.298266743625
30.21,815.269357595774
30.22,815.240448447922
30.23,815.211539300071
30.24,815.182630152219
30.25,815.153721004368
30.26,815.124811856516
30.27,815.095902708665
30.28,815.066981741382
30.29,815.038057933455
30.3,815.009134125529
30.31,814.980210317602
30.32,814.951286509675
30.33,814.922362701749
30.34,814.893438893822
30.35,814.864515085895
30.36,814.835591277969
30.37,814.80666422512
30.38,814.777725696874
30.39,814.748787168627
30.4,814.719848640381
30.41,814.690910112135
30.42,814.661971583889
30.43,814.633033055643
30.44,814.604094527397
30.45,814.575155999151
30.46,814.546217470905
30.47,814.517269562209
30.48,814.488316253315
30.49,814.459362944421
30.5,814.430409635527
30.51,814.401456326633
30.52,814.372503017738
30.53,814.343549708844
30.54,814.31459639995
30.55,814.285643091056
30.56,814.256689057182
30.57,814.227720907226
30.58,814.19875275727
30.59,814.169784607314
30.6,814.140816457359
30.61,814.111848307403
30.62,814.082880157447
30.63,814.053912007492
30.64,814.024943857536
30.65,813.99597570758
30.66,813.967000657379
30.67,813.938017605863
30.68,813.909034554347
30.69,813.880051502832
30.7,813.851068451316
30.71,813.8220853998
30.72,813.793102348284
30.73,813.764119296769
30.74,813.735136245253
30.75,813.706153193737
30.76,813.677157016517
30.77,813.648159002858
30.78,813.619160989198
30.79,813.590162975538
30.8,813.561164961878
30.81,813.532166948218
30.82,813.503168934558
30.83,813.474170920899
30.84,813.445172907239
30.85,813.416170514931
30.86,813.387157478457
30.87,813.358144441983
30.88,813.329131405509
30.89,813.300118369035
30.9,813.271105332561
30.91,813.242092296087
30.92,813.213079259613
30.93,813.184066223139
30.94,813.155053186665
30.95,813.126029506135
30.96,813.097001386091
30.97,813.067973266046
30.98,813.038945146002
