"Time","Left.Inf.Lat.Vent"
-25.33,1378.92427325385
-25.32,1378.99756798127
-25.31,1379.07091752107
-25.3,1379.14426706087
-25.29,1379.21761660067
-25.28,1379.29096614047
-25.27,1379.36431568027
-25.26,1379.43766522008
-25.25,1379.51101475988
-25.24,1379.58436429968
-25.23,1379.65771383948
-25.22,1379.73118765544
-25.21,1379.80466385768
-25.2,1379.87814005992
-25.19,1379.95161626216
-25.18,1380.0250924644
-25.17,1380.09856866663
-25.16,1380.17204486887
-25.15,1380.24552107111
-25.14,1380.31899727335
-25.13,1380.39252358836
-25.12,1380.46612654092
-25.11,1380.53972949349
-25.1,1380.61333244606
-25.09,1380.68693539862
-25.08,1380.76053835119
-25.07,1380.83414130375
-25.06,1380.90774425632
-25.05,1380.98134720889
-25.04,1381.05495016145
-25.03,1381.1286557984
-25.02,1381.20238558889
-25.01,1381.27611537937
-25,1381.34984516985
-24.99,1381.42357496034
-24.98,1381.49730475082
-24.97,1381.57103454131
-24.96,1381.64476433179
-24.95,1381.71849412228
-24.94,1381.79225231574
-24.93,1381.86610903144
-24.92,1381.93996574713
-24.91,1382.01382246282
-24.9,1382.08767917852
-24.89,1382.16153589421
-24.88,1382.2353926099
-24.87,1382.3092493256
-24.86,1382.38310604129
-24.85,1382.45696275698
-24.84,1382.5309005043
-24.83,1382.60488423219
-24.82,1382.67886796008
-24.81,1382.75285168797
-24.8,1382.82683541587
-24.79,1382.90081914376
-24.78,1382.97480287165
-24.77,1383.04878659954
-24.76,1383.12277032743
-24.75,1383.19676068844
-24.74,1383.27087151522
-24.73,1383.344982342
-24.72,1383.41909316877
-24.71,1383.49320399555
-24.7,1383.56731482233
-24.69,1383.64142564911
-24.68,1383.71553647589
-24.67,1383.78964730266
-24.66,1383.86375812944
-24.65,1383.9379282747
-24.64,1384.01216628675
-24.63,1384.08640429879
-24.62,1384.16064231084
-24.61,1384.23488032289
-24.6,1384.30911833493
-24.59,1384.38335634698
-24.58,1384.45759435903
-24.57,1384.53183237107
-24.56,1384.60607038312
-24.55,1384.68042047031
-24.54,1384.7547857537
-24.53,1384.8291510371
-24.52,1384.90351632049
-24.51,1384.97788160389
-24.5,1385.05224688728
-24.49,1385.12661217068
-24.48,1385.20097745407
-24.47,1385.27534273747
-24.46,1385.34974556645
-24.45,1385.42423820697
-24.44,1385.49873084749
-24.43,1385.57322348801
-24.42,1385.64771612852
-24.41,1385.72220876904
-24.4,1385.79670140956
-24.39,1385.87119405008
-24.38,1385.9456866906
-24.37,1386.02017933111
-24.36,1386.09476232986
-24.35,1386.16938241297
-24.34,1386.24400249608
-24.33,1386.31862257918
-24.32,1386.39324266229
-24.31,1386.4678627454
-24.3,1386.54248282851
-24.29,1386.61710291162
-24.28,1386.69172299472
-24.27,1386.7663587914
-24.26,1386.84110640226
-24.25,1386.91585401312
-24.24,1386.99060162398
-24.23,1387.06534923484
-24.22,1387.1400968457
-24.21,1387.21484445656
-24.2,1387.28959206742
-24.19,1387.36433967828
-24.18,1387.43908728914
-24.17,1387.51390348188
-24.16,1387.58877870535
-24.15,1387.66365392881
-24.14,1387.73852915227
-24.13,1387.81340437573
-24.12,1387.8882795992
-24.11,1387.96315482266
-24.1,1388.03803004612
-24.09,1388.11290526958
-24.08,1388.18778049305
-24.07,1388.26277723671
-24.06,1388.33778015732
-24.05,1388.41278307793
-24.04,1388.48778599854
-24.03,1388.56278891915
-24.02,1388.63779183976
-24.01,1388.71279476037
-24,1388.78779768098
-23.99,1388.86280060158
-23.98,1388.93785026895
-23.97,1389.01298097093
-23.96,1389.08811167292
-23.95,1389.16324237491
-23.94,1389.2383730769
-23.93,1389.31350377889
-23.92,1389.38863448088
-23.91,1389.46376518286
-23.9,1389.53889588485
-23.89,1389.61402658684
-23.88,1389.68925702881
-23.87,1389.7645155961
-23.86,1389.83977416339
-23.85,1389.91503273068
-23.84,1389.99029129797
-23.83,1390.06554986526
-23.82,1390.14080843255
-23.81,1390.21606699984
-23.8,1390.29132556713
-23.79,1390.36660898787
-23.78,1390.44199550407
-23.77,1390.51738202027
-23.76,1390.59276853647
-23.75,1390.66815505267
-23.74,1390.74354156887
-23.73,1390.81892808507
-23.72,1390.89431460127
-23.71,1390.96970111748
-23.7,1391.04508763368
-23.69,1391.12055205117
-23.68,1391.19606659958
-23.67,1391.27158114799
-23.66,1391.3470956964
-23.65,1391.4226102448
-23.64,1391.49812479321
-23.63,1391.57363934162
-23.62,1391.64915389003
-23.61,1391.72466843844
-23.6,1391.80018588948
-23.59,1391.87582855308
-23.58,1391.95147121667
-23.57,1392.02711388027
-23.56,1392.10275654387
-23.55,1392.17839920747
-23.54,1392.25404187106
-23.53,1392.32968453466
-23.52,1392.40532719826
-23.51,1392.48096986186
-23.5,1392.55666853024
-23.49,1392.63243939169
-23.48,1392.70821025315
-23.47,1392.7839811146
-23.46,1392.85975197606
-23.45,1392.93552283751
-23.44,1393.01129369897
-23.43,1393.08706456042
-23.42,1393.16283542188
-23.41,1393.23860628333
-23.4,1393.31448631993
-23.39,1393.3903854616
-23.38,1393.46628460326
-23.37,1393.54218374492
-23.36,1393.61808288659
-23.35,1393.69398202825
-23.34,1393.76988116991
-23.33,1393.84578031158
-23.32,1393.92167945324
-23.31,1393.99761264599
-23.3,1394.0736401499
-23.29,1394.1496676538
-23.28,1394.22569515771
-23.27,1394.30172266162
-23.26,1394.37775016552
-23.25,1394.45377766943
-23.24,1394.52980517334
-23.23,1394.60583267724
-23.22,1394.68186018115
-23.21,1394.75797496003
-23.2,1394.8341309079
-23.19,1394.91028685576
-23.18,1394.98644280363
-23.17,1395.06259875149
-23.16,1395.13875469936
-23.15,1395.21491064722
-23.14,1395.29106659509
-23.13,1395.36722254296
-23.12,1395.44339053168
-23.11,1395.5196750049
-23.1,1395.59595947812
-23.09,1395.67224395135
-23.08,1395.74852842457
-23.07,1395.82481289779
-23.06,1395.90109737101
-23.05,1395.97738184423
-23.04,1396.05366631746
-23.03,1396.12995079068
-23.02,1396.20630058187
-23.01,1396.28271366152
-23,1396.35912674118
-22.99,1396.43553982083
-22.98,1396.51195290049
-22.97,1396.58836598015
-22.96,1396.6647790598
-22.95,1396.74119213946
-22.94,1396.81760521911
-22.93,1396.89401829877
-22.92,1396.97055004037
-22.91,1397.04709180722
-22.9,1397.12363357406
-22.89,1397.20017534091
-22.88,1397.27671710775
-22.87,1397.3532588746
-22.86,1397.42980064145
-22.85,1397.50634240829
-22.84,1397.58288417514
-22.83,1397.65946924675
-22.82,1397.73613978122
-22.81,1397.81281031569
-22.8,1397.88948085017
-22.79,1397.96615138464
-22.78,1398.04282191911
-22.77,1398.11949245358
-22.76,1398.19616298805
-22.75,1398.27283352252
-22.74,1398.34950405699
-22.73,1398.42627129263
-22.72,1398.50307067484
-22.71,1398.57987005705
-22.7,1398.65666943926
-22.69,1398.73346882147
-22.68,1398.81026820368
-22.67,1398.88706758588
-22.66,1398.96386696809
-22.65,1399.0406663503
-22.64,1399.11748696854
-22.63,1399.19441527828
-22.62,1399.27134358801
-22.61,1399.34827189774
-22.6,1399.42520020747
-22.59,1399.50212851721
-22.58,1399.57905682694
-22.57,1399.65598513667
-22.56,1399.73291344641
-22.55,1399.80984175614
-22.54,1399.88684475042
-22.53,1399.96390206714
-22.52,1400.04095938386
