"Time","Right.Cerebellum.White.Matter"
-46.03,15841.6311583535
-46.02,15841.7866301516
-46.01,15841.9421019496
-46,15842.0975737476
-45.99,15842.2530455456
-45.98,15842.4085173437
-45.97,15842.5639891417
-45.96,15842.7194609397
-45.95,15842.8749327377
-45.94,15843.0304045357
-45.93,15843.185879378
-45.92,15843.3413571132
-45.91,15843.4968348484
-45.9,15843.6523125837
-45.89,15843.8077903189
-45.88,15843.9632680541
-45.87,15844.1187457893
-45.86,15844.2742235246
-45.85,15844.4297012598
-45.84,15844.585178995
-45.83,15844.7406629899
-45.82,15844.8961474782
-45.81,15845.0516319665
-45.8,15845.2071164547
-45.79,15845.362600943
-45.78,15845.5180854313
-45.77,15845.6735699195
-45.76,15845.8290544078
-45.75,15845.9845388961
-45.74,15846.1400259665
-45.73,15846.2955180238
-45.72,15846.4510100811
-45.71,15846.6065021384
-45.7,15846.7619941956
-45.69,15846.9174862529
-45.68,15847.0729783102
-45.67,15847.2284703675
-45.66,15847.3839624247
-45.65,15847.539454482
-45.64,15847.694952873
-45.63,15847.8504533154
-45.62,15848.0059537578
-45.61,15848.1614542001
-45.6,15848.3169546425
-45.59,15848.4724550848
-45.58,15848.6279555272
-45.57,15848.7834559696
-45.56,15848.9389564119
-45.55,15849.0944584145
-45.54,15849.2499680581
-45.53,15849.4054777018
-45.52,15849.5609873454
-45.51,15849.7164969891
-45.5,15849.8720066327
-45.49,15850.0275162764
-45.48,15850.18302592
-45.47,15850.3385355637
-45.46,15850.4940452073
-45.45,15850.649560699
-45.44,15850.8050803603
-45.43,15850.9606000216
-45.42,15851.1161196829
-45.41,15851.2716393442
-45.4,15851.4271590055
-45.39,15851.5826786668
-45.38,15851.7381983281
-45.37,15851.8937179894
-45.36,15852.0492376507
-45.35,15852.2047681242
-45.34,15852.3602986196
-45.33,15852.5158291151
-45.32,15852.6713596105
-45.31,15852.826890106
-45.3,15852.9824206015
-45.29,15853.1379510969
-45.28,15853.2934815924
-45.27,15853.4490120878
-45.26,15853.6045473855
-45.25,15853.7600895318
-45.24,15853.9156316781
-45.23,15854.0711738244
-45.22,15854.2267159707
-45.21,15854.382258117
-45.2,15854.5378002633
-45.19,15854.6933424096
-45.18,15854.8488845559
-45.17,15855.0044267022
-45.16,15855.1599791516
-45.15,15855.3155337656
-45.14,15855.4710883796
-45.13,15855.6266429936
-45.12,15855.7821976076
-45.11,15855.9377522216
-45.1,15856.0933068356
-45.09,15856.2488614496
-45.08,15856.4044160636
-45.07,15856.5599738737
-45.06,15856.7155417725
-45.05,15856.8711096713
-45.04,15857.02667757
-45.03,15857.1822454688
-45.02,15857.3378133676
-45.01,15857.4933812663
-45,15857.6489491651
-44.99,15857.8045170638
-44.98,15857.9600849626
-44.97,15858.1156620953
-44.96,15858.2712440961
-44.95,15858.4268260969
-44.94,15858.5824080977
-44.93,15858.7379900985
-44.92,15858.8935720993
-44.91,15859.0491541001
-44.9,15859.2047361009
-44.89,15859.3603181017
-44.88,15859.515901132
-44.87,15859.6714980523
-44.86,15859.8270949726
-44.85,15859.982691893
-44.84,15860.1382888133
-44.83,15860.2938857336
-44.82,15860.449482654
-44.81,15860.6050795743
-44.8,15860.7606764946
-44.79,15860.9162734149
-44.78,15861.0718779396
-44.77,15861.2274905972
-44.76,15861.3831032548
-44.75,15861.5387159124
-44.74,15861.69432857
-44.73,15861.8499412275
-44.72,15862.0055538851
-44.71,15862.1611665427
-44.7,15862.3167792003
-44.69,15862.4723918579
-44.68,15862.6280193723
-44.67,15862.7836485851
-44.66,15862.939277798
-44.65,15863.0949070108
-44.64,15863.2505362236
-44.63,15863.4061654364
-44.62,15863.5617946492
-44.61,15863.717423862
-44.6,15863.8730530748
-44.59,15864.0286877016
-44.58,15864.1843342878
-44.57,15864.3399808741
-44.56,15864.4956274604
-44.55,15864.6512740467
-44.54,15864.806920633
-44.53,15864.9625672192
-44.52,15865.1182138055
-44.51,15865.2738603918
-44.5,15865.4295069781
-44.49,15865.5851667686
-44.48,15865.7408315468
-44.47,15865.8964963251
-44.46,15866.0521611033
-44.45,15866.2078258816
-44.44,15866.3634906598
-44.43,15866.5191554381
-44.42,15866.6748202164
-44.41,15866.8304849946
-44.4,15866.986152435
-44.39,15867.141836224
-44.38,15867.297520013
-44.37,15867.4532038021
-44.36,15867.6088875911
-44.35,15867.7645713801
-44.34,15867.9202551692
-44.33,15868.0759389582
-44.32,15868.2316227472
-44.31,15868.3873065362
-44.3,15868.5430013157
-44.29,15868.6987049346
-44.28,15868.8544085535
-44.27,15869.0101121724
-44.26,15869.1658157913
-44.25,15869.3215194102
-44.24,15869.4772230291
-44.23,15869.632926648
-44.22,15869.7886302669
-44.21,15869.9443338858
-44.2,15870.1000575023
-44.19,15870.2557817705
-44.18,15870.4115060387
-44.17,15870.5672303069
-44.16,15870.722954575
-44.15,15870.8786788432
-44.14,15871.0344031114
-44.13,15871.1901273796
-44.12,15871.3458516477
-44.11,15871.501584131
-44.1,15871.6573298682
-44.09,15871.8130756054
-44.08,15871.9688213425
-44.07,15872.1245670797
-44.06,15872.2803128169
-44.05,15872.4360585541
-44.04,15872.5918042913
-44.03,15872.7475500285
-44.02,15872.9032957657
-44.01,15873.059059264
-44,15873.2148272902
-43.99,15873.3705953165
-43.98,15873.5263633428
-43.97,15873.6821313691
-43.96,15873.8378993953
-43.95,15873.9936674216
-43.94,15874.1494354479
-43.93,15874.3052034741
-43.92,15874.4609763779
-43.91,15874.6167675136
-43.9,15874.7725586494
-43.89,15874.9283497852
-43.88,15875.084140921
-43.87,15875.2399320567
-43.86,15875.3957231925
-43.85,15875.5515143283
-43.84,15875.7073054641
-43.83,15875.8630965999
-43.82,15876.0189026984
-43.81,15876.1747177644
-43.8,15876.3305328305
-43.79,15876.4863478966
-43.78,15876.6421629627
-43.77,15876.7979780287
-43.76,15876.9537930948
-43.75,15877.1096081609
-43.74,15877.2654232269
-43.73,15877.4212392699
-43.72,15877.5770790874
-43.71,15877.732918905
-43.7,15877.8887587225
-43.69,15878.04459854
-43.68,15878.2004383575
-43.67,15878.3562781751
-43.66,15878.5121179926
-43.65,15878.6679578101
-43.64,15878.8237976276
-43.63,15878.979649047
-43.62,15879.1355144376
-43.61,15879.2913798281
-43.6,15879.4472452186
-43.59,15879.6031106092
-43.58,15879.7589759997
-43.57,15879.9148413902
-43.56,15880.0707067808
-43.55,15880.2265721713
-43.54,15880.3824375618
-43.53,15880.5383258601
-43.52,15880.6942176456
-43.51,15880.8501094311
-43.5,15881.0060012166
-43.49,15881.1618930021
-43.48,15881.3177847876
-43.47,15881.4736765731
-43.46,15881.6295683586
-43.45,15881.7854601441
-43.44,15881.9413596072
-43.43,15882.0972786101
-43.42,15882.2531976129
-43.41,15882.4091166158
-43.4,15882.5650356186
-43.39,15882.7209546215
-43.38,15882.8768736243
-43.37,15883.0327926272
-43.36,15883.18871163
-43.35,15883.3446306329
-43.34,15883.5005691599
-43.33,15883.6565162028
-43.32,15883.8124632458
-43.31,15883.9684102888
-43.3,15884.1243573318
-43.29,15884.2803043748
-43.28,15884.4362514178
-43.27,15884.5921984608
-43.26,15884.7481455038
-43.25,15884.9040957361
-43.24,15885.0600716425
-43.23,15885.2160475489
-43.22,15885.3720234553
-43.21,15885.5279993616
-43.2,15885.683975268
-43.19,15885.8399511744
-43.18,15885.9959270808
-43.17,15886.1519029872
-43.16,15886.3078788936
-43.15,15886.4638703769
-43.14,15886.6198759703
-43.13,15886.7758815638
-43.12,15886.9318871573
-43.11,15887.0878927507
-43.1,15887.2438983442
-43.09,15887.3999039377
-43.08,15887.5559095312
-43.07,15887.7119151246
