"Time","Left.Cortex"
-24.66,253233.998744007
-24.65,253232.120383049
-24.64,253230.242660251
-24.63,253228.364937454
-24.62,253226.487214656
-24.61,253224.609491859
-24.6,253222.731769061
-24.59,253220.854046263
-24.58,253218.976323466
-24.57,253217.098600668
-24.56,253215.220877871
-24.55,253213.344200413
-24.54,253211.467664693
-24.53,253209.591128974
-24.52,253207.714593254
-24.51,253205.838057534
-24.5,253203.961521814
-24.49,253202.084986094
-24.48,253200.208450374
-24.47,253198.331914654
-24.46,253196.455726283
-24.45,253194.580368795
-24.44,253192.705011307
-24.43,253190.829653818
-24.42,253188.95429633
-24.41,253187.078938842
-24.4,253185.203581354
-24.39,253183.328223865
-24.38,253181.452866377
-24.37,253179.577508889
-24.36,253177.702980519
-24.35,253175.828792433
-24.34,253173.954604346
-24.33,253172.080416259
-24.32,253170.206228172
-24.31,253168.332040086
-24.3,253166.457851999
-24.29,253164.583663912
-24.28,253162.709475826
-24.27,253160.835430743
-24.26,253158.962403243
-24.25,253157.089375743
-24.24,253155.216348243
-24.23,253153.343320743
-24.22,253151.470293244
-24.21,253149.597265744
-24.2,253147.724238244
-24.19,253145.851210744
-24.18,253143.978183244
-24.17,253142.105774741
-24.16,253140.233899029
-24.15,253138.362023317
-24.14,253136.490147605
-24.13,253134.618271893
-24.12,253132.746396181
-24.11,253130.874520469
-24.1,253129.002644756
-24.09,253127.130769044
-24.08,253125.258893332
-24.07,253123.388105335
-24.06,253121.517372627
-24.05,253119.646639919
-24.04,253117.775907211
-24.03,253115.905174503
-24.02,253114.034441795
-24.01,253112.163709086
-24,253110.292976378
-23.99,253108.42224367
-23.98,253106.551925904
-23.97,253104.682327431
-23.96,253102.812728958
-23.95,253100.943130486
-23.94,253099.073532013
-23.93,253097.20393354
-23.92,253095.334335068
-23.91,253093.464736595
-23.9,253091.595138122
-23.89,253089.72553965
-23.88,253087.856819098
-23.87,253085.988346107
-23.86,253084.119873116
-23.85,253082.251400125
-23.84,253080.382927135
-23.83,253078.514454144
-23.82,253076.645981153
-23.81,253074.777508163
-23.8,253072.909035172
-23.79,253071.040779103
-23.78,253069.173422856
-23.77,253067.306066609
-23.76,253065.438710362
-23.75,253063.571354115
-23.74,253061.703997867
-23.73,253059.83664162
-23.72,253057.969285373
-23.71,253056.101929126
-23.7,253054.234572879
-23.69,253052.367890807
-23.68,253050.50164258
-23.67,253048.635394353
-23.66,253046.769146125
-23.65,253044.902897898
-23.64,253043.036649671
-23.63,253041.170401444
-23.62,253039.304153216
-23.61,253037.437904989
-23.6,253035.571681668
-23.59,253033.706532752
-23.58,253031.841383836
-23.57,253029.97623492
-23.56,253028.111086003
-23.55,253026.245937087
-23.54,253024.380788171
-23.53,253022.515639255
-23.52,253020.650490339
-23.51,253018.785341422
-23.5,253016.920668955
-23.49,253015.056610656
-23.48,253013.192552357
-23.47,253011.328494057
-23.46,253009.464435758
-23.45,253007.600377458
-23.44,253005.736319159
-23.43,253003.87226086
-23.42,253002.00820256
-23.41,253000.144144261
-23.4,252998.281006763
-23.39,252996.418030401
-23.38,252994.555054038
-23.37,252992.692077676
-23.36,252990.829101314
-23.35,252988.966124951
-23.34,252987.103148589
-23.33,252985.240172227
-23.32,252983.377195864
-23.31,252981.514504212
-23.3,252979.652601122
-23.29,252977.790698031
-23.28,252975.92879494
-23.27,252974.06689185
-23.26,252972.204988759
-23.25,252970.343085668
-23.24,252968.481182578
-23.23,252966.619279487
-23.22,252964.757376397
-23.21,252962.896196693
