"Time","CSF"
-17.49,2338.29054299754
-17.48,2338.30864373753
-17.47,2338.32674447751
-17.46,2338.34484115994
-17.45,2338.36293427035
-17.44,2338.38102738076
-17.43,2338.39912049116
-17.42,2338.41721360157
-17.41,2338.43530671197
-17.4,2338.45339982238
-17.39,2338.47149293279
-17.38,2338.48958604319
-17.37,2338.5076791536
-17.36,2338.52576513008
-17.35,2338.54385069953
-17.34,2338.56193626898
-17.33,2338.58002183843
-17.32,2338.59810740788
-17.31,2338.61619297733
-17.3,2338.63427854678
-17.29,2338.65236411623
-17.28,2338.67044968568
-17.27,2338.68853257055
-17.26,2338.70661068755
-17.25,2338.72468880456
-17.24,2338.74276692157
-17.23,2338.76084503857
-17.22,2338.77892315558
-17.21,2338.79700127259
-17.2,2338.81507938959
-17.19,2338.8331575066
-17.18,2338.85123562361
-17.17,2338.86930803764
-17.16,2338.88737879061
-17.15,2338.90544954358
-17.14,2338.92352029655
-17.13,2338.94159104952
-17.12,2338.95966180249
-17.11,2338.97773255546
-17.1,2338.99580330842
-17.09,2339.01387406139
-17.08,2339.03194344186
-17.07,2339.05000691909
-17.06,2339.06807039632
-17.05,2339.08613387355
-17.04,2339.10419735078
-17.03,2339.12226082801
-17.02,2339.14032430524
-17.01,2339.15838778247
-17,2339.1764512597
-16.99,2339.19451473694
-16.98,2339.21257388118
-16.97,2339.23063017087
-16.96,2339.24868646056
-16.95,2339.26674275024
-16.94,2339.28479903993
-16.93,2339.30285532962
-16.92,2339.32091161931
-16.91,2339.338967909
-16.9,2339.35702419868
-16.89,2339.37508036731
-16.88,2339.39312955755
-16.87,2339.41117874779
-16.86,2339.42922793802
-16.85,2339.44727712826
-16.84,2339.4653263185
-16.83,2339.48337550874
-16.82,2339.50142469897
-16.81,2339.51947388921
-16.8,2339.53752307945
-16.79,2339.55556924594
-16.78,2339.57361142472
-16.77,2339.5916536035
-16.76,2339.60969578228
-16.75,2339.62773796106
-16.74,2339.64578013983
-16.73,2339.66382231861
-16.72,2339.68186449739
-16.71,2339.69990667617
-16.7,2339.71794885495
-16.69,2339.7359851801
-16.68,2339.75402043531
-16.67,2339.77205569052
-16.66,2339.79009094573
-16.65,2339.80812620094
-16.64,2339.82616145615
-16.63,2339.84419671136
-16.62,2339.86223196657
-16.61,2339.88026722178
-16.6,2339.89830070195
-16.59,2339.91632912139
-16.58,2339.93435754082
-16.57,2339.95238596025
-16.56,2339.97041437969
-16.55,2339.98844279912
-16.54,2340.00647121855
-16.53,2340.02449963799
-16.52,2340.04252805742
-16.51,2340.06055647685
-16.5,2340.07858034892
-16.49,2340.09660202027
-16.48,2340.11462369162
-16.47,2340.13264536297
-16.46,2340.15066703432
-16.45,2340.16868870567
-16.44,2340.18671037702
-16.43,2340.20473204837
-16.42,2340.22275371972
-16.41,2340.24077480441
-16.4,2340.25878981527
-16.39,2340.27680482614
-16.38,2340.294819837
-16.37,2340.31283484786
-16.36,2340.33084985873
-16.35,2340.34886486959
-16.34,2340.36687988045
-16.33,2340.38489489132
-16.32,2340.40290990218
-16.31,2340.42092161153
-16.3,2340.43893004941
-16.29,2340.45693848728
-16.28,2340.47494692516
-16.27,2340.49295536304
-16.26,2340.51096380092
-16.25,2340.5289722388
-16.24,2340.54698067668
-16.23,2340.56498911456
-16.22,2340.58299755244
-16.21,2340.60100004634
-16.2,2340.61900199864
-16.19,2340.63700395094
-16.18,2340.65500590325
-16.17,2340.67300785555
-16.16,2340.69100980785
-16.15,2340.70901176015
-16.14,2340.72701371245
-16.13,2340.74501566476
-16.12,2340.76301550117
-16.11,2340.78101105521
-16.1,2340.79900660925
-16.09,2340.81700216329
-16.08,2340.83499771733
-16.07,2340.85299327138
-16.06,2340.87098882542
-16.05,2340.88898437946
-16.04,2340.9069799335
-16.03,2340.92497548754
-16.02,2340.94296634047
-16.01,2340.96095558347
-16,2340.97894482647
-15.99,2340.99693406948
-15.98,2341.01492331248
-15.97,2341.03291255548
-15.96,2341.05090179849
-15.95,2341.06889104149
-15.94,2341.08688028449
-15.93,2341.10486853722
-15.92,2341.12285155632
-15.91,2341.14083457542
-15.9,2341.15881759451
-15.89,2341.17680061361
-15.88,2341.19478363271
-15.87,2341.21276665181
-15.86,2341.23074967091
-15.85,2341.24873269001
-15.84,2341.26671570911
-15.83,2341.28469520986
-15.82,2341.3026720921
-15.81,2341.32064897433
-15.8,2341.33862585657
-15.79,2341.35660273881
-15.78,2341.37457962105
-15.77,2341.39255650329
-15.76,2341.41053338553
-15.75,2341.42851026777
-15.74,2341.44648715001
-15.73,2341.46445805785
-15.72,2341.48242889018
-15.71,2341.50039972252
-15.7,2341.51837055485
-15.69,2341.53634138719
-15.68,2341.55431221953
-15.67,2341.57228305186
-15.66,2341.5902538842
-15.65,2341.60822471653
-15.64,2341.62619315337
-15.63,2341.64415802267
-15.62,2341.66212289197
-15.61,2341.68008776128
-15.6,2341.69805263058
-15.59,2341.71601749989
-15.58,2341.73398236919
-15.57,2341.75194723849
-15.56,2341.7699121078
-15.55,2341.7878769771
-15.54,2341.80583705179
-15.53,2341.82379604485
-15.52,2341.8417550379
-15.51,2341.85971403096
-15.5,2341.87767302402
-15.49,2341.89563201708
-15.48,2341.91359101013
-15.47,2341.93155000319
-15.46,2341.94950899625
-15.45,2341.96746665691
-15.44,2341.98541986043
-15.43,2342.00337306394
-15.42,2342.02132626745
-15.41,2342.03927947096
-15.4,2342.05723267447
-15.39,2342.07518587798
-15.38,2342.09313908149
-15.37,2342.111092285
-15.36,2342.12904548852
-15.35,2342.14699501739
-15.34,2342.16494251797
-15.33,2342.18289001856
-15.32,2342.20083751914
-15.31,2342.21878501973
-15.3,2342.23673252031
-15.29,2342.2546800209
-15.28,2342.27262752148
-15.27,2342.29057502207
-15.26,2342.30852219382
-15.25,2342.32646407802
-15.24,2342.34440596222
-15.23,2342.36234784641
-15.22,2342.38028973061
-15.21,2342.3982316148
-15.2,2342.416173499
-15.19,2342.43411538319
-15.18,2342.45205726739
-15.17,2342.46999915158
-15.16,2342.48793842148
-15.15,2342.50587477575
-15.14,2342.52381113001
-15.13,2342.54174748428
-15.12,2342.55968383854
-15.11,2342.57762019281
-15.1,2342.59555654707
-15.09,2342.61349290133
-15.08,2342.6314292556
-15.07,2342.64936560986
-15.06,2342.66729713592
-15.05,2342.68522804663
-15.04,2342.70315895734
-15.03,2342.72108986805
-15.02,2342.73902077876
-15.01,2342.75695168947
-15,2342.77488260018
-14.99,2342.79281351089
-14.98,2342.8107444216
-14.97,2342.8286737189
-14.96,2342.84659927236
-14.95,2342.86452482581
-14.94,2342.88245037927
-14.93,2342.90037593273
-14.92,2342.91830148619
-14.91,2342.93622703965
-14.9,2342.95415259311
-14.89,2342.97207814657
-14.88,2342.99000370003
-14.87,2343.00792548275
-14.86,2343.02584576518
-14.85,2343.04376604761
-14.84,2343.06168633004
-14.83,2343.07960661247
-14.82,2343.0975268949
-14.81,2343.11544717733
-14.8,2343.13336745977
-14.79,2343.1512877422
-14.78,2343.16920735279
-14.77,2343.18712245034
-14.76,2343.2050375479
-14.75,2343.22295264545
-14.74,2343.240867743
-14.73,2343.25878284056
-14.72,2343.27669793811
-14.71,2343.29461303566
-14.7,2343.31252813321
-14.69,2343.33044323077
-14.68,2343.34835555568
-14.67,2343.36626555443
-14.66,2343.38417555318
-14.65,2343.40208555193
-14.64,2343.41999555068
-14.63,2343.43790554944
-14.62,2343.45581554819
-14.61,2343.47372554694
-14.6,2343.49163554569
-14.59,2343.50954554444
-14.58,2343.52745074099
-14.57,2343.54535572694
-14.56,2343.56326071289
-14.55,2343.58116569884
-14.54,2343.59907068479
-14.53,2343.61697567074
-14.52,2343.63488065669
-14.51,2343.65278564264
-14.5,2343.67069062859
-14.49,2343.68859378079
-14.48,2343.70649383988
-14.47,2343.72439389896
-14.46,2343.74229395804
-14.45,2343.76019401712
-14.44,2343.7780940762
-14.43,2343.79599413529
-14.42,2343.81389419437
-14.41,2343.83179425345
-14.4,2343.84969431253
-14.39,2343.86759056465
-14.38,2343.88548578273
-14.37,2343.9033810008
-14.36,2343.92127621888
-14.35,2343.93917143695
-14.34,2343.95706665503
-14.33,2343.9749618731
-14.32,2343.99285709118
-14.31,2344.01075230925
-14.3,2344.02864657341
-14.29,2344.04653703627
-14.28,2344.06442749913
-14.27,2344.08231796199
-14.26,2344.10020842485
-14.25,2344.11809888771
-14.24,2344.13598935057
-14.23,2344.15387981344
-14.22,2344.1717702763
-14.21,2344.18966073916
-14.2,2344.20754833117
-14.19,2344.22543412454
-14.18,2344.24331991791
-14.17,2344.26120571128
-14.16,2344.27909150465
-14.15,2344.29697729802
-14.14,2344.31486309139
-14.13,2344.33274888476
-14.12,2344.35063467813
-14.11,2344.3685203385
-14.1,2344.38640154804
-14.09,2344.40428275757
-14.08,2344.42216396711
-14.07,2344.44004517665
-14.06,2344.45792638619
-14.05,2344.47580759573
