"Time","Right.Amygdala"
3.57,929.423047851301
3.58,929.400264929654
3.59,929.377482008006
3.6,929.354699086359
3.61,929.331916164712
3.62,929.309133243064
3.63,929.286356858291
3.64,929.263583885292
3.65,929.240810912294
3.66,929.218037939295
3.67,929.195264966296
3.68,929.172491993297
3.69,929.149719020299
3.7,929.1269460473
3.71,929.104173074301
3.72,929.081400806637
3.73,929.058637730693
3.74,929.035874654749
3.75,929.013111578805
3.76,928.990348502861
3.77,928.967585426917
3.78,928.944822350973
3.79,928.922059275029
3.8,928.899296199085
3.81,928.876533123141
3.82,928.853774826932
3.83,928.831021596512
3.84,928.808268366092
3.85,928.785515135673
3.86,928.762761905253
3.87,928.740008674833
3.88,928.717255444414
3.89,928.694502213994
3.9,928.671748983575
3.91,928.648995753155
3.92,928.626251334238
3.93,928.603507897875
3.94,928.580764461513
3.95,928.55802102515
3.96,928.535277588788
3.97,928.512534152425
3.98,928.489790716063
3.99,928.467047279701
4,928.444303843338
4.01,928.42156346504
4.02,928.39882977133
4.03,928.376096077621
4.04,928.353362383911
4.05,928.330628690201
4.06,928.307894996492
4.07,928.285161302782
4.08,928.262427609073
4.09,928.239693915363
4.1,928.216960221653
4.11,928.194233584088
4.12,928.171509581689
4.13,928.148785579291
4.14,928.126061576892
4.15,928.103337574493
4.16,928.080613572095
4.17,928.057889569696
4.18,928.035165567297
4.19,928.012441564899
4.2,927.989718934232
4.21,927.967004571865
4.22,927.944290209497
4.23,927.92157584713
4.24,927.898861484762
4.25,927.876147122395
4.26,927.853432760027
4.27,927.830718397659
4.28,927.808004035292
4.29,927.785289672924
4.3,927.762580646742
4.31,927.739875873187
4.32,927.717171099632
4.33,927.694466326078
4.34,927.671761552524
4.35,927.649056778969
4.36,927.626352005415
4.37,927.60364723186
4.38,927.580942458306
4.39,927.558237684751
4.4,927.535542169464
4.41,927.512846933566
4.42,927.490151697668
4.43,927.46745646177
4.44,927.444761225872
4.45,927.422065989974
4.46,927.399370754076
4.47,927.376675518178
4.48,927.35398028228
4.49,927.331288697876
4.5,927.308602948539
4.51,927.285917199202
4.52,927.263231449865
4.53,927.240545700528
4.54,927.217859951191
4.55,927.195174201854
4.56,927.172488452516
4.57,927.149802703179
4.58,927.127116953842
4.59,927.104438744604
4.6,927.081762430793
4.61,927.059086116982
4.62,927.036409803171
4.63,927.01373348936
4.64,926.991057175549
4.65,926.968380861738
4.66,926.945704547927
4.67,926.923028234116
4.68,926.900353922252
4.69,926.877686992993
4.7,926.855020063733
4.71,926.832353134474
4.72,926.809686205215
4.73,926.787019275955
4.74,926.764352346696
4.75,926.741685417437
4.76,926.719018488177
4.77,926.696351558918
4.78,926.67369048679
4.79,926.651032891168
4.8,926.628375295546
4.81,926.605717699924
4.82,926.583060104301
4.83,926.56040250868
4.84,926.537744913057
4.85,926.515087317435
4.86,926.492429721813
4.87,926.469772513608
4.88,926.447124200769
