"Time","Brain.Stem"
23.96,18900.4405941692
23.97,18900.4620085695
23.98,18900.4834229698
23.99,18900.5048373702
24,18900.5262517705
24.01,18900.5476661708
24.02,18900.5690805711
24.03,18900.5904949715
24.04,18900.6119093718
24.05,18900.6335108113
24.06,18900.6551370663
24.07,18900.6767633213
24.08,18900.6983895763
24.09,18900.7200158313
24.1,18900.7416420863
24.11,18900.7632683413
24.12,18900.7848945963
24.13,18900.8065208513
24.14,18900.82821085
24.15,18900.8500516791
24.16,18900.8718925083
24.17,18900.8937333374
24.18,18900.9155741665
24.19,18900.9374149956
24.2,18900.9592558247
24.21,18900.9810966538
24.22,18901.002937483
24.23,18901.0247783121
24.24,18901.046773725
24.25,18901.0688318869
24.26,18901.0908900489
24.27,18901.1129482109
24.28,18901.1350063728
24.29,18901.1570645348
24.3,18901.1791226968
24.31,18901.2011808587
24.32,18901.2232390207
24.33,18901.2453248053
24.34,18901.2676030987
24.35,18901.2898813922
24.36,18901.3121596857
24.37,18901.3344379791
24.38,18901.3567162726
24.39,18901.3789945661
24.4,18901.4012728595
24.41,18901.423551153
24.42,18901.4458294465
24.43,18901.4682280745
24.44,18901.4907293387
24.45,18901.5132306029
24.46,18901.5357318671
24.47,18901.5582331313
24.48,18901.5807343955
24.49,18901.6032356597
24.5,18901.6257369239
24.51,18901.6482381881
24.52,18901.6707394523
24.53,18901.6934561544
24.54,18901.7161832698
24.55,18901.7389103851
24.56,18901.7616375005
24.57,18901.7843646158
24.58,18901.8070917311
24.59,18901.8298188465
24.6,18901.8525459618
24.61,18901.8752730772
24.62,18901.8980844038
24.63,18901.9210402926
24.64,18901.9439961814
24.65,18901.9669520702
24.66,18901.989907959
24.67,18902.0128638478
24.68,18902.0358197366
24.69,18902.0587756254
24.7,18902.0817315142
24.71,18902.104687403
24.72,18902.1278245818
24.73,18902.1510122089
24.74,18902.174199836
24.75,18902.1973874631
24.76,18902.2205750902
24.77,18902.2437627173
24.78,18902.2669503444
24.79,18902.2901379715
24.8,18902.3133255986
24.81,18902.3365593558
24.82,18902.3599817293
24.83,18902.3834041028
24.84,18902.4068264763
24.85,18902.4302488498
24.86,18902.4536712232
24.87,18902.4770935967
24.88,18902.5005159702
24.89,18902.5239383437
24.9,18902.5473607171
24.91,18902.5709283179
24.92,18902.5945884898
24.93,18902.6182486616
24.94,18902.6419088335
24.95,18902.6655690053
24.96,18902.6892291772
24.97,18902.7128893491
24.98,18902.7365495209
24.99,18902.7602096928
25,18902.7838758682
25.01,18902.807776935
25.02,18902.8316780019
25.03,18902.8555790688
25.04,18902.8794801356
25.05,18902.9033812025
25.06,18902.9272822694
25.07,18902.9511833362
25.08,18902.9750844031
25.09,18902.99898547
25.1,18903.0229937002
25.11,18903.047138804
25.12,18903.0712839079
25.13,18903.0954290118
25.14,18903.1195741156
25.15,18903.1437192195
25.16,18903.1678643234
25.17,18903.1920094273
25.18,18903.2161545311
25.19,18903.240299635
25.2,18903.2646557042
25.21,18903.2890480331
25.22,18903.3134403621
25.23,18903.337832691
25.24,18903.36222502
25.25,18903.3866173489
25.26,18903.4110096778
25.27,18903.4354020068
25.28,18903.4597943357
25.29,18903.4842536724
25.3,18903.5088964613
25.31,18903.5335392503
25.32,18903.5581820392
25.33,18903.5828248281
25.34,18903.607467617
25.35,18903.632110406
25.36,18903.6567531949
25.37,18903.6813959838
25.38,18903.7060387727
25.39,18903.7308545492
25.4,18903.7557510806
25.41,18903.780647612
25.42,18903.8055441434
25.43,18903.8304406748
25.44,18903.8553372062
25.45,18903.8802337376
25.46,18903.905130269
25.47,18903.9300268003
25.48,18903.954947998
25.49,18903.9801016027
25.5,18904.0052552074
25.51,18904.0304088122
25.52,18904.0555624169
25.53,18904.0807160216
25.54,18904.1058696264
